n01440764; tench; cyprinid
n01443537; goldfish; cyprinid
n01484850; great white shark; mackerel shark
n01491361; tiger shark; requiem shark
n01494475; hammerhead; shark
n01496331; electric ray; ray
n01498041; stingray; ray
n01514668; cock; bird
n01514859; hen; bird
n01518878; ostrich; ratite
n01530575; brambling; finch
n01531178; goldfinch; finch
n01532829; house finch; finch
n01534433; junco; finch
n01537544; indigo bunting; bunting
n01558993; robin; thrush
n01560419; bulbul; nightingale
n01580077; jay; corvine bird
n01582220; magpie; corvine bird
n01592084; chickadee; titmouse
n01601694; water ouzel; oscine
n01608432; kite; hawk
n01614925; bald eagle; eagle
n01616318; vulture; bird of prey
n01622779; great grey owl; owl
n01629819; European fire salamander; salamander
n01630670; common newt; newt
n01631663; eft; newt
n01632458; spotted salamander; ambystomid
n01632777; axolotl; ambystomid
n01641577; bullfrog; true frog
n01644373; tree frog; frog
n01644900; tailed frog; frog
n01664065; loggerhead; sea turtle
n01665541; leatherback turtle; sea turtle
n01667114; mud turtle; turtle
n01667778; terrapin; turtle
n01669191; box turtle; turtle
n01675722; banded gecko; gecko
n01677366; common iguana; iguanid
n01682714; American chameleon; iguanid
n01685808; whiptail; teiid lizard
n01687978; agama; agamid
n01688243; frilled lizard; agamid
n01689811; alligator lizard; anguid lizard
n01692333; Gila monster; venomous lizard
n01693334; green lizard; lacertid lizard
n01694178; African chameleon; chameleon
n01695060; Komodo dragon; monitor
n01697457; African crocodile; crocodile
n01698640; American alligator; alligator
n01704323; triceratops; ceratopsian
n01728572; thunder snake; colubrid snake
n01728920; ringneck snake; colubrid snake
n01729322; hognose snake; colubrid snake
n01729977; green snake; colubrid snake
n01734418; king snake; colubrid snake
n01735189; garter snake; colubrid snake
n01737021; water snake; colubrid snake
n01739381; vine snake; colubrid snake
n01740131; night snake; colubrid snake
n01742172; boa constrictor; boa
n01744401; rock python; python
n01748264; Indian cobra; cobra
n01749939; green mamba; black mamba
n01751748; sea snake; snake
n01753488; horned viper; viper
n01755581; diamondback; rattlesnake
n01756291; sidewinder; rattlesnake
n01768244; trilobite; arthropod
n01770081; harvestman; arachnid
n01770393; scorpion; arachnid
n01773157; black and gold garden spider; spider
n01773549; barn spider; spider
n01773797; garden spider; spider
n01774384; black widow; spider
n01774750; tarantula; spider
n01775062; wolf spider; spider
n01776313; tick; acarine
n01784675; centipede; arthropod
n01795545; black grouse; grouse
n01796340; ptarmigan; grouse
n01797886; ruffed grouse; grouse
n01798484; prairie chicken; grouse
n01806143; peacock; peafowl
n01806567; quail; phasianid
n01807496; partridge; phasianid
n01817953; African grey; parrot
n01818515; macaw; parrot
n01819313; sulphur-crested cockatoo; cockatoo
n01820546; lorikeet; lory
n01824575; coucal; cuckoo
n01828970; bee eater; coraciiform bird
n01829413; hornbill; coraciiform bird
n01833805; hummingbird; apodiform bird
n01843065; jacamar; piciform bird
n01843383; toucan; piciform bird
n01847000; drake; duck
n01855032; red-breasted merganser; merganser
n01855672; goose; anseriform bird
n01860187; black swan; swan
n01871265; tusker; mammal
n01872401; echidna; monotreme
n01873310; platypus; monotreme
n01877812; wallaby; kangaroo
n01882714; koala; phalanger
n01883070; wombat; marsupial
n01910747; jellyfish; coelenterate
n01914609; sea anemone; anthozoan
n01917289; brain coral; stony coral
n01924916; flatworm; worm
n01930112; nematode; worm
n01943899; conch; gastropod
n01944390; snail; gastropod
n01945685; slug; gastropod
n01950731; sea slug; gastropod
n01955084; chiton; mollusk
n01968897; chambered nautilus; cephalopod
n01978287; Dungeness crab; crab
n01978455; rock crab; crab
n01980166; fiddler crab; crab
n01981276; king crab; crab
n01983481; American lobster; true lobster
n01984695; spiny lobster; lobster
n01985128; crayfish; decapod crustacean
n01986214; hermit crab; decapod crustacean
n01990800; isopod; malacostracan crustacean
n02002556; white stork; stork
n02002724; black stork; stork
n02006656; spoonbill; wading bird
n02007558; flamingo; wading bird
n02009229; little blue heron; heron
n02009912; American egret; egret
n02011460; bittern; heron
n02012849; crane; wading bird
n02013706; limpkin; wading bird
n02017213; European gallinule; purple gallinule
n02018207; American coot; coot
n02018795; bustard; wading bird
n02025239; ruddy turnstone; turnstone
n02027492; red-backed sandpiper; sandpiper
n02028035; redshank; sandpiper
n02033041; dowitcher; snipe
n02037110; oystercatcher; shorebird
n02051845; pelican; pelecaniform seabird
n02056570; king penguin; penguin
n02058221; albatross; pelagic bird
n02066245; grey whale; baleen whale
n02071294; killer whale; dolphin
n02074367; dugong; sea cow
n02077923; sea lion; eared seal
n02085620; Chihuahua; toy dog
n02085782; Japanese spaniel; toy dog
n02085936; Maltese dog; toy dog
n02086079; Pekinese; toy dog
n02086240; Shih-Tzu; toy dog
n02086646; Blenheim spaniel; English toy spaniel
n02086910; papillon; toy spaniel
n02087046; toy terrier; toy dog
n02087394; Rhodesian ridgeback; hunting dog
n02088094; Afghan hound; hound
n02088238; basset; hound
n02088364; beagle; hound
n02088466; bloodhound; hound
n02088632; bluetick; hound
n02089078; black-and-tan coonhound; coonhound
n02089867; Walker hound; foxhound
n02089973; English foxhound; foxhound
